time,  web0,  db0,  memcached0, 
0,  21.09,  8.21,  1.69, 
2,  35.14,  17.16,  2.96, 
4,  32.68,  24.61,  3.07, 
6,  29.37,  19.01,  2.58, 
8,  28.83,  19.47,  2.48, 
10,  11.24,  16.91,  1.42, 
12,  33.31,  25.99,  3.26, 
14,  22.19,  19.97,  2.48, 
16,  18.53,  9.89,  1.96, 
18,  22.27,  18.4,  2.12, 
20,  13.21,  4.64,  1.49, 
22,  30.86,  15.15,  2.82, 
24,  18.23,  15.71,  1.98, 
26,  21.16,  11.93,  1.83, 
28,  15.91,  11.3,  1.9, 
30,  18.31,  16.28,  1.86, 
32,  15.1,  15.49,  1.84, 
34,  23.33,  17.97,  2.34, 
36,  22.74,  17.49,  2.45, 
38,  22.64,  18.31,  2.75, 
40,  12.86,  5.33,  1.5, 
42,  10.28,  3.85,  1.19, 
44,  28.34,  27.04,  3.16, 
46,  22.6,  18.08,  2.33, 
48,  23.87,  19.28,  2.44, 
50,  15.24,  16.16,  2.0, 
52,  14.78,  16.24,  1.99, 
54,  21.79,  16.12,  2.25, 
56,  22.77,  17.5,  2.39, 
58,  23.14,  17.51,  2.64, 
60,  9.67,  2.25,  0.93, 
62,  9.4,  2.11,  1.1, 
64,  31.13,  30.7,  3.44, 
66,  27.11,  20.68,  3.11, 
68,  22.58,  17.72,  2.46, 
70,  15.6,  15.42,  1.96, 
72,  10.95,  12.03,  1.43, 
74,  30.69,  19.6,  3.29, 
76,  27.05,  21.97,  3.33, 
78,  18.67,  13.76,  2.07, 
80,  9.08,  2.02,  0.93, 
82,  8.87,  2.05,  0.98, 
84,  40.33,  46.25,  4.14, 
86,  19.35,  14.94,  2.29, 
88,  22.37,  17.62,  2.35, 
90,  10.32,  11.9,  1.32, 
92,  14.31,  14.88,  1.66, 
94,  34.98,  17.64,  3.58, 
96,  22.92,  17.67,  2.75, 
98,  22.66,  10.28,  2.77, 
100,  16.62,  8.77,  2.1, 
102,  8.99,  2.04,  0.84, 
104,  44.26,  48.07,  4.73, 
106,  26.72,  12.89,  2.99, 
108,  15.95,  13.3,  1.83, 
110,  11.15,  12.06,  1.04, 
112,  10.79,  7.42,  1.67, 
114,  50.97,  27.15,  5.64, 
116,  13.66,  7.83,  1.5, 
118,  16.97,  7.65,  2.15, 
120,  10.5,  12.71,  1.32, 
122,  5.84,  1.9,  0.56, 
124,  48.49,  53.77,  5.42, 
126,  12.71,  13.16,  1.33, 
128,  8.76,  9.47,  0.94, 
130,  21.91,  18.16,  2.11, 
132,  9.64,  11.93,  0.94, 
134,  47.26,  26.48,  5.32, 
136,  16.55,  13.27,  1.55, 
138,  13.32,  12.76,  1.57, 
140,  17.52,  14.96,  1.8, 
142,  9.7,  3.13,  1.08, 
144,  50.4,  54.68,  5.44, 
146,  21.79,  17.77,  2.28, 
148,  21.09,  17.53,  2.21, 
150,  27.26,  21.3,  2.86, 
152,  9.08,  13.2,  0.92, 
154,  51.01,  25.81,  5.31, 
156,  19.96,  16.24,  2.15, 
158,  17.27,  14.01,  2.0, 
160,  19.83,  12.41,  1.91, 
162,  11.71,  10.95,  1.28, 
164,  54.0,  54.81,  5.53, 
166,  22.2,  17.6,  2.32, 
168,  23.49,  17.83,  2.48, 
170,  14.68,  15.92,  1.37, 
172,  5.99,  0.42,  0.36, 
174,  50.83,  28.15,  5.77, 
176,  20.84,  15.75,  2.27, 
178,  18.48,  14.52,  1.65, 
180,  27.26,  22.05,  3.04, 
182,  26.76,  15.27,  2.48, 
184,  49.31,  50.92,  4.98, 
186,  19.08,  15.3,  2.05, 
188,  20.12,  15.66,  1.92, 
190,  11.11,  12.44,  1.38, 
192,  6.78,  2.15,  0.94, 
194,  40.8,  23.71,  4.07, 
196,  23.33,  17.11,  2.5, 
198,  19.23,  14.05,  1.9, 
200,  13.47,  5.44,  1.76, 
202,  1.3,  0.59,  0.39, 
204,  41.4,  41.18,  4.18, 
206,  22.85,  17.79,  2.64, 
208,  25.92,  23.09,  2.73, 
210,  9.23,  3.34,  1.15, 
212,  2.29,  9.35,  0.3, 
214,  34.22,  20.57,  3.54, 
216,  24.54,  27.32,  2.65, 
218,  29.51,  21.79,  3.09, 
220,  5.44,  2.46,  0.67, 
222,  8.53,  4.71,  0.86, 
224,  29.08,  30.74,  3.04, 
226,  27.73,  22.73,  2.39, 
228,  33.68,  29.63,  4.18, 
230,  2.04,  5.42,  0.24, 
232,  15.89,  15.69,  1.85, 
234,  29.16,  17.99,  3.16, 
236,  39.48,  18.25,  3.61, 
238,  34.42,  31.02,  3.51, 
240,  10.86,  13.78,  1.06, 
242,  9.34,  2.35,  1.22, 
244,  33.17,  15.77,  3.96, 
246,  17.21,  10.09,  1.94, 
248,  43.63,  31.81,  4.45, 
250,  19.98,  17.33,  1.87, 
252,  11.81,  12.85,  1.23, 
254,  10.65,  12.62,  1.56, 
256,  29.09,  21.5,  2.66, 
258,  37.92,  22.55,  3.94, 
260,  18.0,  13.92,  1.74, 
