time,  web0,  db0,  memcached0, 
0,  42.03,  35.51,  4.04, 
2,  76.32,  74.79,  7.74, 
4,  55.05,  47.82,  5.19, 
6,  51.73,  36.09,  4.48, 
8,  30.15,  37.53,  3.07, 
10,  33.91,  30.05,  3.28, 
12,  57.25,  52.27,  6.34, 
14,  44.8,  30.24,  4.54, 
16,  52.29,  36.37,  5.39, 
18,  40.95,  29.94,  4.18, 
20,  28.63,  21.3,  3.23, 
22,  57.95,  64.68,  6.56, 
24,  39.61,  33.85,  3.71, 
26,  48.26,  44.48,  5.13, 
28,  43.95,  44.88,  4.52, 
30,  35.16,  38.12,  4.06, 
32,  52.86,  40.24,  5.46, 
34,  41.1,  31.92,  4.55, 
36,  35.33,  23.59,  3.23, 
38,  44.36,  39.16,  4.76, 
40,  35.75,  25.43,  4.19, 
42,  52.67,  55.92,  4.63, 
44,  41.25,  35.53,  4.26, 
46,  38.62,  37.18,  3.72, 
48,  40.61,  35.74,  3.93, 
50,  27.28,  32.98,  2.72, 
52,  69.08,  49.88,  7.1, 
54,  36.99,  27.14,  3.83, 
56,  35.49,  31.19,  3.24, 
58,  33.89,  29.73,  3.3, 
60,  30.67,  20.74,  3.05, 
62,  53.23,  62.71,  5.02, 
64,  41.16,  41.6,  4.37, 
66,  34.04,  32.39,  3.19, 
68,  35.52,  30.01,  3.38, 
70,  38.03,  36.61,  3.76, 
72,  60.53,  43.39,  6.19, 
74,  41.88,  29.37,  3.98, 
76,  39.96,  36.86,  4.01, 
78,  48.68,  42.0,  5.27, 
80,  36.76,  25.12,  4.15, 
82,  62.52,  65.42,  6.99, 
84,  65.47,  72.74,  6.19, 
86,  44.74,  43.07,  4.54, 
88,  47.76,  50.18,  5.0, 
90,  26.34,  27.06,  2.56, 
92,  59.98,  44.76,  5.85, 
94,  61.47,  47.59,  5.74, 
96,  40.27,  37.82,  4.17, 
98,  42.47,  34.54,  4.2, 
100,  27.19,  24.69,  2.78, 
102,  54.18,  51.71,  5.51, 
104,  86.58,  99.26,  7.57, 
106,  53.48,  33.92,  5.27, 
108,  46.74,  43.75,  5.03, 
110,  32.42,  44.61,  3.16, 
112,  50.83,  38.04,  5.28, 
114,  75.64,  67.51,  7.96, 
116,  48.32,  57.11,  4.81, 
118,  33.85,  33.39,  3.77, 
120,  33.07,  22.14,  3.07, 
122,  44.29,  35.72,  4.83, 
124,  73.72,  69.25,  7.37, 
126,  52.46,  40.01,  5.23, 
128,  41.33,  33.41,  4.73, 
130,  44.55,  45.14,  4.47, 
132,  41.12,  34.41,  4.22, 
134,  68.98,  69.79,  6.76, 
136,  57.46,  51.58,  5.94, 
138,  37.35,  28.5,  4.34, 
140,  33.37,  18.94,  3.6, 
142,  35.9,  22.34,  3.61, 
144,  74.82,  58.18,  7.84, 
146,  52.49,  41.44,  5.17, 
148,  33.08,  23.87,  4.68, 
150,  28.68,  29.68,  3.15, 
152,  41.62,  55.78,  4.4, 
154,  59.26,  49.33,  5.83, 
156,  63.04,  51.33,  6.17, 
158,  32.19,  33.12,  4.26, 
160,  39.07,  22.81,  4.2, 
162,  36.94,  22.9,  3.44, 
164,  54.16,  34.18,  5.27, 
166,  39.59,  27.91,  4.14, 
168,  34.85,  33.08,  4.42, 
170,  50.45,  52.62,  5.34, 
172,  26.46,  36.11,  2.84, 
174,  46.11,  44.04,  4.74, 
176,  41.21,  47.69,  4.2, 
178,  39.75,  35.97,  4.52, 
180,  39.32,  39.94,  4.1, 
182,  23.27,  8.95,  2.44, 
184,  35.69,  18.94,  3.96, 
186,  26.28,  18.68,  2.44, 
188,  32.53,  22.95,  3.41, 
190,  41.02,  36.68,  3.8, 
192,  19.3,  30.77,  1.94, 
194,  26.38,  26.7,  2.57, 
196,  27.12,  29.22,  2.66, 
198,  36.78,  35.68,  3.88, 
200,  46.07,  37.8,  5.08, 
202,  20.23,  7.82,  2.06, 
204,  20.41,  18.51,  2.24, 
206,  38.62,  25.97,  3.69, 
208,  32.34,  21.82,  3.46, 
210,  49.62,  42.92,  5.5, 
212,  28.97,  39.79,  2.9, 
214,  22.63,  17.65,  3.01, 
216,  27.89,  33.87,  2.56, 
218,  36.3,  31.51,  3.69, 
220,  40.16,  34.72,  3.85, 
222,  26.52,  19.18,  2.59, 
224,  22.02,  24.87,  2.58, 
226,  42.7,  57.2,  4.34, 
228,  32.81,  34.7,  4.18, 
230,  41.06,  36.12,  4.12, 
232,  41.63,  54.96,  4.4, 
234,  27.56,  20.53,  2.18, 
236,  33.5,  12.49,  3.43, 
238,  30.13,  41.43,  2.95, 
240,  43.19,  38.6,  4.59, 
242,  41.21,  26.67,  4.47, 
244,  27.31,  34.14,  2.49, 
246,  39.0,  73.12,  3.61, 
248,  46.84,  48.47,  4.89, 
250,  41.3,  36.51,  4.87, 
252,  42.8,  65.63,  3.91, 
254,  31.12,  20.83,  3.31, 
256,  48.3,  27.89,  5.33, 
258,  50.78,  50.48,  5.01, 
260,  41.65,  35.58,  4.7, 
